Decimal:  33 | Hexadecimal: 21 | ASCII: ! 
Decimal:  34 | Hexadecimal: 22 | ASCII: " 
Decimal:  35 | Hexadecimal: 23 | ASCII: # 
Decimal:  36 | Hexadecimal: 24 | ASCII: $ 
Decimal:  37 | Hexadecimal: 25 | ASCII: % 
Decimal:  38 | Hexadecimal: 26 | ASCII: & 
Decimal:  39 | Hexadecimal: 27 | ASCII: ' 
Decimal:  40 | Hexadecimal: 28 | ASCII: ( 
Decimal:  41 | Hexadecimal: 29 | ASCII: ) 
Decimal:  42 | Hexadecimal: 2A | ASCII: * 
Decimal:  43 | Hexadecimal: 2B | ASCII: + 
Decimal:  44 | Hexadecimal: 2C | ASCII: , 
Decimal:  45 | Hexadecimal: 2D | ASCII: - 
Decimal:  46 | Hexadecimal: 2E | ASCII: . 
Decimal:  47 | Hexadecimal: 2F | ASCII: / 
Decimal:  48 | Hexadecimal: 30 | ASCII: 0 
Decimal:  49 | Hexadecimal: 31 | ASCII: 1 
Decimal:  50 | Hexadecimal: 32 | ASCII: 2 
Decimal:  51 | Hexadecimal: 33 | ASCII: 3 
Decimal:  52 | Hexadecimal: 34 | ASCII: 4 
Decimal:  53 | Hexadecimal: 35 | ASCII: 5 
Decimal:  54 | Hexadecimal: 36 | ASCII: 6 
Decimal:  55 | Hexadecimal: 37 | ASCII: 7 
Decimal:  56 | Hexadecimal: 38 | ASCII: 8 
Decimal:  57 | Hexadecimal: 39 | ASCII: 9 
Decimal:  58 | Hexadecimal: 3A | ASCII: : 
Decimal:  59 | Hexadecimal: 3B | ASCII: ; 
Decimal:  60 | Hexadecimal: 3C | ASCII: < 
Decimal:  61 | Hexadecimal: 3D | ASCII: = 
Decimal:  62 | Hexadecimal: 3E | ASCII: > 
Decimal:  63 | Hexadecimal: 3F | ASCII: ? 
Decimal:  64 | Hexadecimal: 40 | ASCII: @ 
Decimal:  65 | Hexadecimal: 41 | ASCII: A 
Decimal:  66 | Hexadecimal: 42 | ASCII: B 
Decimal:  67 | Hexadecimal: 43 | ASCII: C 
Decimal:  68 | Hexadecimal: 44 | ASCII: D 
Decimal:  69 | Hexadecimal: 45 | ASCII: E 
Decimal:  70 | Hexadecimal: 46 | ASCII: F 
Decimal:  71 | Hexadecimal: 47 | ASCII: G 
Decimal:  72 | Hexadecimal: 48 | ASCII: H 
Decimal:  73 | Hexadecimal: 49 | ASCII: I 
Decimal:  74 | Hexadecimal: 4A | ASCII: J 
Decimal:  75 | Hexadecimal: 4B | ASCII: K 
Decimal:  76 | Hexadecimal: 4C | ASCII: L 
Decimal:  77 | Hexadecimal: 4D | ASCII: M 
Decimal:  78 | Hexadecimal: 4E | ASCII: N 
Decimal:  79 | Hexadecimal: 4F | ASCII: O 
Decimal:  80 | Hexadecimal: 50 | ASCII: P 
Decimal:  81 | Hexadecimal: 51 | ASCII: Q 
Decimal:  82 | Hexadecimal: 52 | ASCII: R 
Decimal:  83 | Hexadecimal: 53 | ASCII: S 
Decimal:  84 | Hexadecimal: 54 | ASCII: T 
Decimal:  85 | Hexadecimal: 55 | ASCII: U 
Decimal:  86 | Hexadecimal: 56 | ASCII: V 
Decimal:  87 | Hexadecimal: 57 | ASCII: W 
Decimal:  88 | Hexadecimal: 58 | ASCII: X 
Decimal:  89 | Hexadecimal: 59 | ASCII: Y 
Decimal:  90 | Hexadecimal: 5A | ASCII: Z 
Decimal:  91 | Hexadecimal: 5B | ASCII: [ 
Decimal:  92 | Hexadecimal: 5C | ASCII: \ 
Decimal:  93 | Hexadecimal: 5D | ASCII: ] 
Decimal:  94 | Hexadecimal: 5E | ASCII: ^ 
Decimal:  95 | Hexadecimal: 5F | ASCII: _ 
Decimal:  96 | Hexadecimal: 60 | ASCII: ` 
Decimal:  97 | Hexadecimal: 61 | ASCII: a 
